X (m),Y (m),Z (m),Dx
-0.000899676,0.015905049,0.396579031,7.04E-05
-0.000907925,0.043068825,0.386704739,5.04E-05
-0.00090964,0.039239048,0.172379886,8.08E-05
-0.000910847,0.004251734,0.382911796,4.07E-05
-0.000931635,0.019789784,0.396547303,7.16E-05
-0.000941788,0.043080293,0.389475304,6.10E-05
-0.00094683,0.035333532,0.392805767,6.97E-05
-0.000948814,0.043126028,0.172475007,8.25E-05
-0.000949911,0.064451503,0.176302838,0.000265435
-0.00095914,0.039209068,0.38442691,4.07E-05
-0.000962436,0.050832747,0.181595686,4.88E-05
-0.000967525,0.023676617,0.396533771,7.22E-05
-0.000973004,0.003118947,0.170179449,0.000250953
-0.000986254,0.046937556,0.386769719,5.07E-05
-0.001005584,0.039211888,0.392784496,7.02E-05
-0.001007074,0.017816571,0.383817318,0.000168041
-0.001007548,0.027563201,0.396511227,7.26E-05
-0.001013929,0.0469599,0.389532719,6.06E-05
-0.001013942,0.046998678,0.172452958,8.05E-05
-0.001031692,0.043068411,0.38448418,4.16E-05
-0.001053212,0.031446848,0.396489509,7.28E-05
-0.001068085,0.050820509,0.38681256,5.15E-05
-0.001072007,0.043091959,0.392801486,7.02E-05
-0.001082533,0.023728002,0.382773523,3.71E-05
-0.001089403,0.050842613,0.389612273,6.18E-05
-0.001097008,0.054720493,0.181595716,5.01E-05
-0.001106349,0.035329345,0.396473847,7.30E-05
-0.001106391,0.031493017,0.382872713,3.38E-05
-0.001107152,0.050864033,0.172325422,7.79E-05
-0.001110762,0.027613754,0.382756683,3.48E-05
-0.001116102,0.00310219,0.402234544,0.000230224
-0.001117716,0.046925986,0.384546108,4.14E-05
-0.001143277,0.046974429,0.392834219,6.99E-05
-0.001143595,0.010082896,0.402214875,0.000288472
-0.001155097,0.054718223,0.386975567,4.89E-05
-0.001159232,0.064478893,0.180664634,0.000201448
-0.001165237,0.039213038,0.396466032,7.32E-05
-0.001173368,0.035368066,0.382819301,3.47E-05
-0.001175448,0.054728734,0.389725024,6.24E-05
-0.001193317,0.072214411,0.176176411,0.000262612
-0.00119689,0.012009454,0.16904496,8.68E-05
-0.001198446,0.058632199,0.181609426,4.93E-05
-0.001199609,0.017843179,0.402197804,0.000290142
-0.001203489,0.008138792,0.168856731,8.34E-05
-0.001208721,0.054738082,0.172259625,7.86E-05
-0.001210537,0.008182732,0.183209933,4.49E-05
-0.001213609,0.003123671,0.183193518,7.35E-05
-0.001221763,0.050855382,0.392921892,6.90E-05
-0.001223022,0.015890381,0.169129406,8.89E-05
-0.001228992,0.050806464,0.384567616,4.27E-05
-0.001230325,0.043096733,0.396472505,7.29E-05
-0.001250943,0.058620541,0.387163788,4.74E-05
-0.001253615,0.012073767,0.183245293,4.64E-05
-0.001264051,0.019781557,0.169136355,8.85E-05
-0.001274998,0.058622633,0.389851723,6.15E-05
-0.00127556,0.025612954,0.402192604,0.000290945
-0.001279206,0.039233081,0.382666649,3.53E-05
-0.001301542,0.046979216,0.396488005,7.27E-05
-0.001302637,0.058627873,0.17224919,7.88E-05
-0.001303322,0.023675585,0.169118936,8.75E-05
-0.001311992,0.01789396,0.183360986,9.05E-05
-0.001317245,0.054711332,0.384770198,4.34E-05
-0.00132301,0.003087339,0.381569181,3.48E-05
-0.001342804,0.027568483,0.169114956,8.74E-05
-0.001361859,0.043097487,0.382655079,3.76E-05
-0.001372054,0.033381576,0.402180296,0.000292151
-0.001379883,0.050859738,0.396534778,7.20E-05
-0.001388853,0.008784614,0.381571982,2.04E-05
-0.001389017,0.031459616,0.169105478,8.72E-05
-0.001389413,0.058622095,0.384982919,4.38E-05
-0.00140094,0.072243034,0.180637738,0.000207705
-0.001415439,0.019177742,0.381617374,2.34E-05
-0.001416551,0.025631221,0.183356217,9.25E-05
-0.001434669,0.035350681,0.169101586,8.71E-05
-0.00144131,0.056675464,0.394932663,0.000277143
-0.001453734,0.064486161,0.388721716,0.000220999
-0.001454563,0.080004907,0.176129469,0.000269173
-0.001454653,0.046950767,0.382697611,3.80E-05
-0.001455811,0.025680729,0.381612949,3.85E-05
-0.001478444,0.039239714,0.16912943,8.72E-05
-0.001491176,0.041153956,0.402164629,0.000292328
-0.001499489,0.033450631,0.38168396,3.89E-05
-0.00150827,0.031483784,0.183422223,4.59E-05
-0.001527794,0.043124528,0.169173015,8.80E-05
-0.001528249,0.039284137,0.183349535,4.56E-05
-0.00154188,0.03538842,0.183401973,4.49E-05
-0.001565028,0.003102017,0.409806689,0.000227993
-0.001580301,0.050822396,0.382701121,3.88E-05
-0.001581887,0.0431677,0.183346773,4.46E-05
-0.001589302,0.040226883,0.381699371,1.43E-05
-0.001591382,0.010082217,0.409808728,0.000284801
-0.001591929,0.04700333,0.169172975,8.85E-05
-0.001631257,0.048920701,0.402165534,0.000291444
