X (m),Y (m),Z (m),DX
-0.002361279,0.087747883,0.395093543,0.000662377
-0.002375905,0.033377842,0.417418459,0.00069681
-0.002394178,0.10340106,0.180719357,0.000437212
-0.002422159,0.025623719,0.163774398,0.000761241
-0.002437821,0.087820304,0.384222328,0.000402673
-0.002446138,0.095526808,0.388725711,0.000540172
-0.002458601,0.079978895,0.402291486,0.000705941
-0.002466305,0.064444507,0.409807701,0.000711054
-0.0024946,0.041147975,0.417415082,0.000698525
-0.002501012,0.087784504,0.170387682,0.000695778
-0.002522194,0.03340544,0.163738514,0.000753171
-0.002524059,0.010174191,0.380175639,0.000229312
-0.002525422,0.010114985,0.185174315,0.00015562
-0.00254105,0.003114046,0.185155189,0.000131106
-0.002551808,0.111104436,0.176254213,0.000541779
-0.002579187,0.017917285,0.380156799,0.000239093
-0.002602357,0.017871557,0.185206362,0.000155305
-0.002608029,0.025652802,0.380048566,0.000194066
-0.002633321,0.041179225,0.163741739,0.000751463
-0.002641235,0.048922705,0.41744807,0.000707072
-0.002643852,0.033487296,0.380287195,0.000245078
-0.00264942,0.095511432,0.395007718,0.000678028
-0.002673391,0.025656171,0.185219133,0.000162277
-0.0026848,0.111144341,0.180801095,0.000424881
-0.002686265,0.072220055,0.409825298,0.000719259
-0.002696052,0.095575272,0.3839951,0.000391046
-0.002711837,0.033461904,0.18513154,0.000171536
-0.002715679,0.003102115,0.424734789,0.00053258
-0.002718516,0.003129201,0.379991132,0.000162211
-0.002723439,0.08775636,0.402296009,0.000717403
-0.002759714,0.103323863,0.388755281,0.000546926
-0.00276142,0.048946171,0.163765055,0.000749326
-0.002761792,0.041304387,0.380486859,0.000302822
-0.002764226,0.010085638,0.424925602,0.000679765
-0.002774665,0.095563331,0.170415726,0.000691024
-0.002794679,0.041253116,0.185106603,0.000177307
-0.002814573,0.056694635,0.417470104,0.000712099
-0.002818647,0.017851872,0.424977691,0.000684187
-0.002895202,0.025621225,0.4250064,0.00068611
-0.002902319,0.049032267,0.380634013,0.000318065
-0.002909591,0.118863237,0.176159404,0.000543608
-0.002916345,0.049041423,0.185143161,0.000182556
-0.002927455,0.079995416,0.409841026,0.000722562
-0.002935849,0.056707073,0.163711142,0.000769294
-0.002967558,0.10328976,0.395020975,0.000677489
-0.002972164,0.118898301,0.180725091,0.000425306
-0.002984248,0.103349274,0.384061228,0.000385694
-0.002988825,0.056816389,0.18506515,0.00019586
-0.002993475,0.03338923,0.425002701,0.000687338
-0.003008748,0.064457535,0.417453585,0.000713705
-0.003020912,0.095530045,0.402296839,0.000720922
-0.003056994,0.103332099,0.170490678,0.000682706
-0.003087878,0.07235433,0.184619408,0.000297524
-0.003097966,0.111118547,0.388805401,0.000531983
-0.003105814,0.080150897,0.184283304,0.000364341
-0.00310887,0.04115689,0.42496905,0.000683919
-0.003117538,0.064470807,0.163746445,0.000768819
-0.003125366,0.056767454,0.380524564,0.000318735
-0.003135491,0.064584987,0.185047483,0.00021077
-0.003195142,0.087770215,0.409849337,0.000721722
-0.003230372,0.07223179,0.417463068,0.000713973
-0.003257284,0.048931352,0.42499081,0.000680375
-0.003286736,0.126688875,0.18066723,0.000421731
-0.003287957,0.12664672,0.176130467,0.000545748
-0.003308417,0.1110746,0.39499225,0.000674735
-0.003308959,0.111118213,0.384202834,0.000376765
-0.00331937,0.072239827,0.163774255,0.000758294
-0.003341561,0.103297355,0.402273535,0.000722453
-0.003368582,0.003101522,0.431598418,0.000456645
-0.003369673,0.064603561,0.380472649,0.000317093
-0.003374231,0.111090564,0.170539415,0.000668744
-0.003429592,0.087939981,0.184445438,0.000357987
-0.003429935,0.056704036,0.424993136,0.00067398
-0.003441415,0.010082764,0.431992471,0.000590788
-0.003457391,0.118863279,0.388730904,0.000534478
-0.003476855,0.08000437,0.41746524,0.00070901
-0.003494809,0.09553828,0.409850651,0.000716833
-0.003503849,0.0178552,0.43210546,0.000602694
-0.00357066,0.080014922,0.16368358,0.000750705
-0.003576746,0.025627816,0.432138732,0.000600798
-0.003621807,0.064464942,0.424971917,0.000676166
-0.003626658,0.095722178,0.18442056,0.00036366
-0.003671481,0.03339068,0.432142488,0.000605152
-0.003674932,0.1188364,0.394962638,0.000678039
-0.003675503,0.118832817,0.384089784,0.000378646
-0.003683565,0.111062237,0.402228922,0.000723296
-0.003689994,0.13447576,0.180758483,0.000404471
-0.003696744,0.134423834,0.176262593,0.000544777
-0.003713435,0.072488673,0.380482736,0.000356437
-0.003744772,0.087760305,0.417435659,0.000709761
-0.003746563,0.11885107,0.170431516,0.000664122
-0.003781603,0.041160229,0.432033016,0.00059918
-0.003815596,0.103286656,0.409818319,0.000720024
-0.003837289,0.087784957,0.163681452,0.000727264
-0.003843224,0.072222708,0.42497025,0.000681755
-0.003847556,0.12659997,0.388750829,0.000538787
-0.003885371,0.103502687,0.184478327,0.000360351
-0.00389574,0.08024179,0.380459874,0.00035637
-0.003924534,0.048929178,0.432002676,0.000598224
-0.003929401,0.003103812,0.156870675,0.000574995
-0.003970311,0.010084802,0.156858498,0.000714666
-0.004032695,0.017847477,0.156837197,0.000718032
-0.004040929,0.095511579,0.417407657,0.00071073
-0.004051589,0.126517646,0.384088154,0.000380816
-0.004053329,0.118811261,0.402221117,0.000724119
-0.004056882,0.087964035,0.380439094,0.000366789
-0.004059993,0.003110051,0.437287287,0.000359433
-0.004070267,0.12657929,0.3949885,0.00067915
-0.004090993,0.079979218,0.424939123,0.000683093
-0.00409157,0.056695329,0.431960572,0.000600425
-0.00409314,0.095546109,0.163799415,0.000712855
-0.004100189,0.025623772,0.156831341,0.000720786
-0.004100453,0.142205508,0.180776039,0.000394042
-0.004107214,0.142163882,0.176348019,0.00053791
-0.004146074,0.126609254,0.170352134,0.000675493
-0.004146488,0.025675603,0.378711681,8.83E-05
-0.004149254,0.010108936,0.437714374,0.000432475
-0.004159052,0.11103419,0.409789133,0.000724322
-0.004179092,0.033400456,0.156868988,0.000711621
-0.004203327,0.111249333,0.184548347,0.000368438
-0.004206572,0.010136421,0.378609345,0.000100335
-0.004231396,0.017854533,0.437878392,0.000430513
-0.00424104,0.010133567,0.187053212,0.000236499
-0.004267059,0.134334928,0.388604138,0.000570812
-0.004278144,0.055406227,0.157902158,0.000358701
-0.00428732,0.041169447,0.156888634,0.000708784
-0.004290426,0.064452322,0.431985018,0.000608739
-0.004297918,0.025605813,0.437908724,0.00043493
-0.0043025,0.132970609,0.384533553,0.000187604
-0.004327451,0.01788663,0.378559805,9.19E-05
-0.004337814,0.017899111,0.187047804,0.000227734
-0.004349112,0.033470643,0.378687936,9.28E-05
-0.004352525,0.095733449,0.380291821,0.000357939
-0.004359514,0.003122703,0.187116122,0.000197251
-0.004360383,0.087732991,0.424900858,0.000685535
-0.004363452,0.103259522,0.417386797,0.00071412
-0.004367331,0.103301589,0.163895727,0.000708751
-0.004391067,0.033382115,0.437961453,0.000441566
-0.0044185,0.119021358,0.18445552,0.000367938
-0.004427703,0.048932396,0.156877202,0.000716666
-0.004446857,0.126554689,0.402224781,0.000721814
-0.004464748,0.025688403,0.187084493,0.000229555
-0.004490428,0.1343185,0.394975903,0.000672764
-0.004492337,0.04114921,0.437824265,0.00044617
-0.004505473,0.033493164,0.187071705,0.000234778
-0.004516011,0.072198249,0.432020465,0.000615227
-0.004521444,0.134363646,0.170470575,0.000670411
-0.004524366,0.149944087,0.180722013,0.000395473
-0.004530482,0.118781705,0.409771637,0.0007252
-0.004550877,0.149903043,0.17627685,0.000544411
-0.004563257,0.041293068,0.187034777,0.00022811
-0.004565059,0.00313003,0.378504491,7.92E-05
-0.004580943,0.103473679,0.380398015,0.000362959
-0.004628397,0.048915459,0.437782975,0.000447831
-0.004630986,0.041255918,0.378600964,9.30E-05
-0.004638943,0.135567735,0.383234734,0.000175008
-0.004649678,0.055389922,0.436984779,0.000227919
-0.004656731,0.095483054,0.424866048,0.000687678
-0.004658488,0.049090553,0.187028376,0.000212991
-0.004675184,0.111042307,0.163974203,0.000714116
-0.004696028,0.12682717,0.184410228,0.000375428
-0.004703957,0.142056195,0.388615228,0.000567211
-0.004711461,0.111004625,0.41736972,0.000716748
-0.004725974,0.117507201,0.165072252,0.000356561
-0.004757734,0.079948557,0.431941875,0.000610764
-0.004765239,0.049052326,0.378624872,9.79E-05
-0.004766082,0.056870254,0.187014812,0.00021394
-0.004826041,0.064474154,0.15671859,0.000726829
-0.004845744,0.156402205,0.180210369,0.000193801
-0.004859192,0.111251909,0.380500821,0.000375831
-0.004866981,0.134293193,0.402175199,0.000723166
-0.004900444,0.142100336,0.17064322,0.000658482
-0.004901418,0.064662275,0.187057448,0.00021273
-0.004925149,0.126523771,0.409739556,0.000723124
-0.004933529,0.142051816,0.394937688,0.000669463
-0.004936465,0.142106641,0.383910514,0.000365565
-0.004951185,0.057996485,0.438572781,0.000231682
-0.004971504,0.057990859,0.155582965,0.000354187
-0.00498295,0.103228543,0.424868532,0.000693237
-0.00499002,0.072436742,0.187057479,0.000217801
-0.004999966,0.064474693,0.437804777,0.000449589
-0.005023994,0.157640377,0.17635377,0.000553949
-0.005027513,0.072240398,0.156765255,0.000732294
-0.005029013,0.087707503,0.431900675,0.000613495
-0.005033074,0.056841479,0.378526004,9.97E-05
-0.005080622,0.11874716,0.417338623,0.000717258
-0.005090772,0.148553294,0.171673504,0.000321363
-0.005104804,0.134605488,0.184498393,0.000385138
-0.005161161,0.119001064,0.380432363,0.000359573
-0.005164951,0.080207999,0.187029526,0.00021964
-0.005166083,0.064674068,0.378571671,8.66E-05
-0.005184321,0.159015229,0.181505191,0.000207344
-0.005185004,0.149804882,0.388709811,0.000530753
-0.00523899,0.072217904,0.437907618,0.000459806
-0.005270559,0.080004161,0.156745381,0.0007236
-0.005285654,0.071273271,0.378636922,3.86E-05
-0.00531112,0.142027842,0.40212476,0.000726472
-0.005332473,0.095459101,0.43191697,0.00062346
-0.005335529,0.110971184,0.424868399,0.000697932
-0.005346392,0.134258814,0.409689812,0.00072438
-0.005377315,0.120094493,0.162737769,0.000353175
-0.005405868,0.149861397,0.394872635,0.00069379
-0.005423625,0.149889252,0.384099375,0.000391567
-0.005444514,0.088021071,0.187110815,0.000206644
-0.00546881,0.003103997,0.44203,0.000320747
-0.005477414,0.126591139,0.163796432,0.000701833
-0.005481847,0.126485604,0.417358978,0.000732182
-0.005494588,0.10191397,0.430857477,0.00032087
-0.005503846,0.079970043,0.437918115,0.000486582
-0.005513119,0.081623113,0.378479716,4.38E-05
-0.005516666,0.010119553,0.442222786,0.000376142
-0.005517492,0.165417998,0.176392529,0.000551823
-0.005519785,0.142338998,0.184554151,0.000399449
-0.005528056,0.087767355,0.156789252,0.000733358
-0.005528738,0.117426683,0.42359788,0.000349933
-0.005534391,0.126693221,0.380425864,0.000356108
-0.005551076,0.165509103,0.180982076,0.000428363
-0.005593021,0.086764201,0.378461151,4.58E-05
-0.005595115,0.017880292,0.442308881,0.000356578
-0.005596195,0.095835236,0.187081405,0.000201911
-0.005627842,0.140709087,0.408397936,0.000363623
-0.005631276,0.025629533,0.442298186,0.000354018
-0.005635336,0.148581574,0.400860071,0.000379644
-0.005647735,0.151138048,0.16952181,0.000332776
-0.005704566,0.157664807,0.388595018,0.000554006
-0.00573996,0.132937099,0.416080602,0.000373672
-0.005762264,0.03341363,0.44237526,0.000351015
-0.005770801,0.15641843,0.393673663,0.000354237
-0.005780305,0.087742579,0.437875159,0.00049008
-0.005789096,0.095530391,0.156885449,0.00074966
-0.005811545,0.103618694,0.187082109,0.000188612
